X	Y	Z	influencia	Az
4403111.787	7473064.339	-4917.38068	0.005241	354.2
4403181.308	7473064.339	-4873.785928	0.005276	354.2
4403250.828	7473064.339	-4829.927505	0.005311	354.2
4403320.349	7473064.339	-4785.84087	0.005347	354.2
4403389.869	7473064.339	-4741.595385	0.005384	354.2
4403459.39	7473064.339	-4697.285026	0.005421	354.2
4403528.91	7473064.339	-4653.02006	0.005459	354.2
4403598.431	7473064.339	-4608.923688	0.005498	354.2
4403667.951	7473064.339	-4565.132005	0.005537	354.2
4403737.472	7473064.339	-4521.791256	0.005577	354.2
4403806.993	7473064.339	-4479.046632	0.005618	354.2
4403876.513	7473064.339	-4437.025124	0.00566	354.2
4403946.034	7473064.339	-4395.820722	0.005703	354.2
4404015.554	7473064.339	-4355.483418	0.005746	354.2
