X Y Z K_gauss trend plunge
4409368.636 7472885.23 -3224.84359 1.62E-09 48.918 86.938
4409438.157 7472885.23 -3225.225967 1.94E-09 55.545 86.26
4394282.677 7473064.339 -6840.460296 1.89E-11 171.212 88.765
4394352.198 7473064.339 -6840.837602 2.27E-11 174.428 88.778
4394421.719 7473064.339 -6841.095964 2.58E-11 178.246 88.785
4394491.239 7473064.339 -6841.226887 2.87E-11 182.56 88.784
4394560.76 7473064.339 -6841.227086 3.19E-11 187.279 88.772
4394630.28 7473064.339 -6841.095609 3.56E-11 192.336 88.747
4394699.801 7473064.339 -6840.830791 4.03E-11 197.679 88.707
4394769.321 7473064.339 -6840.42724 4.55E-11 203.247 88.648
4394838.842 7473064.339 -6839.8736 5.09E-11 208.949 88.567
4394908.362 7473064.339 -6839.152913 5.57E-11 214.654 88.461
4394977.883 7473064.339 -6838.244005 5.80E-11 220.202 88.326
4395047.404 7473064.339 -6837.119624 6.06E-11 225.316 88.163
4395116.924 7473064.339 -6835.74235 6.33E-11 229.933 87.97
4395186.445 7473064.339 -6834.065053 6.60E-11 234.038 87.747
4395255.965 7473064.339 -6832.037495 6.86E-11 237.644 87.497
4395325.486 7473064.339 -6829.612815 7.07E-11 240.789 87.221
4395395.006 7473064.339 -6826.750542 7.22E-11 243.516 86.922
4395464.527 7473064.339 -6823.418578 7.28E-11 245.873 86.602
4395534.047 7473064.339 -6819.59317 7.24E-11 247.905 86.266
4395603.568 7473064.339 -6815.254419 7.07E-11 249.656 85.917
4395673.088 7473064.339 -6810.38364 6.80E-11 251.163 85.561
4395742.609 7473064.339 -6804.969572 6.41E-11 252.461 85.202
4395812.13 7473064.339 -6799.015718 5.94E-11 253.581 84.845
4395881.65 7473064.339 -6792.537525 5.41E-11 254.549 84.495
4395951.171 7473064.339 -6785.555083 4.84E-11 255.388 84.155
4396020.691 7473064.339 -6778.093984 4.25E-11 256.116 83.829
4396090.212 7473064.339 -6770.191248 3.66E-11 256.75 83.519
4396159.732 7473064.339 -6761.894006 3.09E-11 257.304 83.229
4396229.253 7473064.339 -6753.250761 2.56E-11 257.789 82.959
4396298.773 7473064.339 -6744.304683 2.06E-11 258.215 82.712
4396368.294 7473064.339 -6735.091983 1.61E-11 258.59 82.488
4396437.814 7473064.339 -6725.642093 1.20E-11 258.922 82.286
4396507.335 7473064.339 -6715.979273 8.45E-12 259.216 82.107
4396576.856 7473064.339 -6706.126462 5.38E-12 259.479 81.948
4396646.376 7473064.339 -6696.10844 2.80E-12 259.714 81.808
4396715.897 7473064.339 -6685.951505 6.97E-13 259.926 81.686
4396785.417 7473064.339 -6675.681197 -9.43E-13 260.117 81.579
4396854.938 7473064.339 -6665.320435 -2.16E-12 260.291 81.486
4396924.458 7473064.339 -6654.887936 -2.97E-12 260.448 81.406
4396993.979 7473064.339 -6644.396731 -3.43E-12 260.591 81.336
4397063.499 7473064.339 -6633.853877 -3.58E-12 260.72 81.277
4397133.02 7473064.339 -6623.261729 -3.49E-12 260.835 81.227
4397202.54 7473064.339 -6612.619637 -3.21E-12 260.937 81.187
4397272.061 7473064.339 -6601.925491 -2.84E-12 261.025 81.155
4397341.582 7473064.339 -6591.177689 -2.47E-12 261.1 81.132
4397411.102 7473064.339 -6580.377574 -2.20E-12 261.161 81.119
4397480.623 7473064.339 -6569.531227 -2.12E-12 261.207 81.115
4397550.143 7473064.339 -6558.649794 -2.32E-12 261.237 81.123
4397619.664 7473064.339 -6547.748581 -2.82E-12 261.251 81.143
4397689.184 7473064.339 -6536.845662 -3.63E-12 261.247 81.176
4397758.705 7473064.339 -6525.9607 -4.68E-12 261.226 81.221
4397828.225 7473064.339 -6515.114405 -5.91E-12 261.187 81.28
4397897.746 7473064.339 -6504.329119 -7.20E-12 261.13 81.35
4397967.267 7473064.339 -6493.631282 -8.48E-12 261.057 81.43
4398036.787 7473064.339 -6483.055193 -9.66E-12 260.969 81.52
4398106.308 7473064.339 -6472.643929 -1.07E-11 260.867 81.617
4398175.828 7473064.339 -6462.44219 -1.17E-11 260.753 81.72
4398245.349 7473064.339 -6452.481934 -1.26E-11 260.631 81.826
4398314.869 7473064.339 -6442.769723 -1.35E-11 260.503 81.933
4398384.39 7473064.339 -6433.284859 -1.43E-11 260.376 82.038
4398453.91 7473064.339 -6423.989237 -1.50E-11 260.254 82.137
4398523.431 7473064.339 -6414.842138 -1.52E-11 260.146 82.227
4398592.951 7473064.339 -6405.811701 -1.44E-11 260.06 82.302
4398662.472 7473064.339 -6396.878607 -1.20E-11 260.006 82.355
4398731.993 7473064.339 -6388.033257 -7.05E-12 259.991 82.381
4398801.513 7473064.339 -6379.271026 1.19E-12 260.024 82.373
4398871.034 7473064.339 -6370.587689 1.34E-11 260.11 82.326
4398940.554 7473064.339 -6361.972506 2.96E-11 260.249 82.235
4399010.075 7473064.339 -6353.396297 4.91E-11 260.44 82.1
4399079.595 7473064.339 -6344.797771 7.02E-11 260.674 81.921
4399149.116 7473064.339 -6336.077178 9.08E-11 260.944 81.703
4399218.636 7473064.339 -6327.103522 1.09E-10 261.238 81.45
4399288.157 7473064.339 -6317.7293 1.23E-10 261.548 81.171
4399357.677 7473064.339 -6307.801105 1.33E-10 261.866 80.869
4399427.198 7473064.339 -6297.167437 1.37E-10 262.185 80.55
4399496.719 7473064.339 -6285.698008 1.36E-10 262.5 80.221
4399566.239 7473064.339 -6273.319446 1.30E-10 262.806 79.885
4399635.76 7473064.339 -6260.053552 1.19E-10 263.1 79.549
4399705.28 7473064.339 -6246.03638 1.05E-10 263.38 79.217
4399774.801 7473064.339 -6231.494911 8.87E-11 263.643 78.894
4399844.321 7473064.339 -6216.671614 7.11E-11 263.89 78.583
4399913.842 7473064.339 -6201.732551 5.36E-11 264.119 78.288
4399983.362 7473064.339 -6186.725903 3.68E-11 264.332 78.009
4400052.883 7473064.339 -6171.61602 2.13E-11 264.531 77.744
4400122.404 7473064.339 -6156.347349 6.90E-12 264.718 77.492
4400191.924 7473064.339 -6140.882093 -6.98E-12 264.897 77.249
4400261.445 7473064.339 -6125.201645 -2.10E-11 265.071 77.01
4400330.965 7473064.339 -6109.29354 -3.54E-11 265.246 76.767
4400400.486 7473064.339 -6093.138267 -5.04E-11 265.422 76.516
4400470.006 7473064.339 -6076.698399 -6.54E-11 265.603 76.25
